name,runway,time,city,money,brand
甲壳虫 2010款 墨橘版 1.8T豪华版,5.30,2010,唐山,9.68,大众
POLO 2011款 1.4L 自动 致尚版,2.90,2011,杭州,5.80,大众
POLO 2016款 1.4L 手动 风尚版,0.74,2016,柳州,5.88,大众
POLO 2013款 1.6L 手动 舒适版,3.31,2014,石家庄,5.50,大众
帕萨特 2016款 380TSI DSG至尊版,1.60,2016,扬州,20.80,大众
宝来 2015款 质惠版 1.6L 自动舒适型,1.48,2016,天津,8.28,大众
迈腾 2018款 380TSI 双离合 豪华版,0.20,2017,温州,22.69,大众
蔚领 2017款 1.4T 双离合 豪华版,0.95,2016,哈尔滨,12.80,大众
朗逸 2013款 经典款 1.6L 手自一体 风尚版,2.00,2015,东莞,8.68,大众
朗逸 2014款 1.6L 手自一体 运动版,3.04,2011,南宁,9.68,大众
高尔夫 2012款 1.6L 手动 时尚型,4.00,2012,宜昌,6.48,大众
POLO 2014款 Cross 1.6L 手自一体,1.85,2015,武汉,8.50,大众
帕萨特 2011款 1.8T 自动 comfortline 尊荣版,4.45,2012,济南,14.20,大众
迈腾 2012款 1.8T 手自一体 舒适型,4.51,2012,杭州,13.80,大众
速腾 2012款 1.4T 手动 时尚型,2.90,2014,西安,9.38,大众
朗逸 2013款 1.6L 自动 舒适版,1.68,2014,西安,10.35,大众
速腾 2009款 1.6L/2V 自动 时尚型,3.10,2010,北京,6.10,大众
宝来 2006款 1.6L自动时尚型TL,8.10,2008,上海,3.50,大众
朗逸 2011款 1.6L 手动品悠版,5.30,2011,石家庄,5.35,大众
帕萨特 2003款 2.0L自动标准型,9.40,2004,兰州,1.98,大众
POLO 2004款 1.4两厢自动基本型,9.00,2006,佛山,2.30,大众
朗逸 2008款 1.6L手动品悠版,4.32,2008,泉州,4.20,大众
宝来 2006款 1.8L 手动豪华型HL,7.70,2007,无锡,3.30,大众
朗逸 2008款 1.6L手动品雅版,5.70,2010,兰州,5.30,大众
POLO 2002款 1.4两厢自动舒适型,12.04,2003,中山,3.29,大众
高尔夫 2004款 1.8L 手动舒适型,6.50,2006,南京,2.90,大众
速腾 2009款 1.6L/2V 时尚型真皮版 自动,6.90,2009,厦门,4.98,大众
朗逸 2014款 1.6L 手自一体 运动版,0.02,2018,青岛,11.50,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.70,2017,合肥,14.56,大众
捷达 2013款 1.6L 手动时尚型,3.00,2014,曲靖,5.66,大众
宝来 2013款 1.4T 自动 豪华型,3.52,2013,银川,8.80,大众
蔚揽 2017款 380TSI 四驱 拓行版,0.37,2017,泉州,31.98,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.09,2017,郑州,14.60,大众
速腾 2015款 1.6L 手自一体 时尚型,0.70,2016,石家庄,11.48,大众
朗逸 2008款 1.6L自动品轩版,4.55,2010,上海,5.80,大众
甲壳虫 2014款 1.2 TSI 时尚型,2.00,2014,合肥,14.38,大众
途锐 2017款 3.0 TSI 启程版,0.76,2017,广州,63.80,大众
甲壳虫 2013款 1.2 TSI 时尚型,3.10,2013,镇江,12.50,大众
桑塔纳 2013款 1.6L 自动 风尚版,2.50,2014,南京,6.30,大众
辉昂 2016款 2.0T DSG 380TSI 两驱行政版,1.00,2017,郑州,30.50,大众
朗逸 2017款 1.6L 手自一体 舒适版,1.00,2017,泉州,9.80,大众
朗逸 2011款 1.6L 自动品悠版,5.00,2011,泉州,6.60,大众
速腾 2017款 280TSI 双离合 旗舰版,0.21,2017,北京,15.00,大众
POLO 2007款 劲情 1.4自动时尚版,8.00,2007,苏州,2.85,大众
高尔夫 2014款 1.4TSI 手动舒适型,2.50,2014,温州,9.88,大众
POLO 2016款 Cross 1.6L 手自一体,1.40,2016,合肥,8.80,大众
甲壳虫 2014款 1.4 TSI 时尚型,2.80,2014,成都,13.80,大众
高尔夫 2015款 1.4TSI 自动豪华型,2.16,2015,成都,12.68,大众
帕萨特 2011款 领驭 2.0L 手动尊品型,4.30,2013,上海,8.80,大众
桑塔纳 2009款 志俊 1.8MT 汽油＋CNG双燃料型,3.84,2013,石家庄,4.90,大众
POLO 2013款 1.6L 手动 舒适版,4.10,2013,荆州,4.88,大众
POLO 2014款 Cross 1.6L 手自一体,3.00,2014,成都,7.68,大众
朗逸 2015款 1.6L 自动 豪华版,0.23,2016,赣州,10.98,大众
POLO 2014款 1.4L 自动 舒适版,1.58,2015,武汉,6.89,大众
迈腾 2009款 2.0 TSI DSG手自一体豪华型,5.20,2010,昆明,7.80,大众
POLO 2014款 1.6L 自动 舒适版,2.60,2014,郑州,6.00,大众
POLO 2011款 1.6L 自动 致酷版,4.00,2012,温州,4.98,大众
帕萨特 2011款 1.8T 自动 Highline 御尊版,4.00,2012,郑州,12.98,大众
宝来 2009款 1.6L 手动舒适,6.52,2010,长春,5.20,大众
捷达 2008款 CiF—P 伙伴,8.00,2008,哈尔滨,2.28,大众
Tiguan 2014款 2.0 TSI 专享版,1.40,2014,上海,19.58,大众
凌渡 2015款 1.4T  DSG 280TSI 豪华版,0.30,2016,哈尔滨,16.80,大众
帕萨特 2011款 1.4T 手动 Comfortline 尊雅版,4.00,2012,烟台,9.68,大众
高尔 2003款 四门舒适型,9.00,2006,贵阳,1.50,大众
POLO 2002款 1.4两厢自动舒适型,11.43,2003,中山,2.20,大众
途昂 2017款 380TSI 四驱 豪华版,0.02,2018,唐山,37.50,大众
朗逸 2013款 1.6L 手动 舒适版,2.60,2014,绍兴,7.38,大众
朗逸 2011款 1.4TSI DSG品雅版,6.00,2010,西安,5.80,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.63,2017,合肥,29.58,大众
速腾 2015款 1.6L 手动 舒适型,1.40,2016,成都,9.68,大众
凌渡 2017款 230TSI 双离合 风尚版,0.80,2017,宁波,11.80,大众
帕萨特 2014款 1.8T 双离合 御尊版,2.60,2015,西安,15.50,大众
大众CC 2012款 2.0T 双离合 豪华型,5.00,2012,常州,14.38,大众
途观L 2017款 330TSI 双离合 两驱 豪华版,0.80,2017,宁波,20.60,大众
途观L 2017款 330TSI 双离合 两驱 风尚版,0.80,2017,宁波,17.60,大众
朗逸 2011款 1.6L 自动品雅版,5.00,2010,南京,5.77,大众
POLO 2013款 1.6L 手动 舒适版,2.36,2014,西安,5.48,大众
宝来 2012款 1.6L 手动 舒适型,3.13,2013,北京,6.80,大众
途锐 2016款 3.0TSI 标配型,0.85,2015,北京,43.80,大众
POLO 2011款 1.4L 自动 致尚版,4.20,2011,福州,5.00,大众
大众CC 2012款 2.0T 双离合 尊贵型,5.00,2012,常州,14.98,大众
宝来 2006款 1.6L手动豪华型HL,8.70,2007,昆明,3.50,大众
尚酷 2013款 1.4 TSI GTS,2.10,2014,昆明,16.20,大众
POLO 2008款 劲情 1.4手动时尚版(铝合金轮毂),8.00,2008,贵阳,2.88,大众
朗行 2013款 1.6L 自动 风尚版,3.55,2013,太原,8.80,大众
POLO 2014款 1.4L 手动 风尚版,1.83,2015,石家庄,5.60,大众
朗逸 2013款 1.6L 自动 豪华版,3.61,2013,济南,7.80,大众
宝来 2001款 1.8L 手动舒适型,8.90,2003,福州,0.98,大众
POLO 2011款 1.4L 手动 致乐版,6.00,2011,柳州,4.18,大众
途安 2015款 1.4TSI 自动 5座 旗舰版,2.00,2014,合肥,12.80,大众
宝来 2011款 1.6L 自动 时尚型,5.00,2011,福州,5.50,大众
宝来 2013款 1.6L 手动 时尚型,1.62,2015,宜昌,7.90,大众
帕萨特 2015款 1.8T 双离合 尊荣版,0.06,2017,大连,17.30,大众
捷达 2015款 1.6L 手动舒适型,2.10,2014,哈尔滨,5.70,大众
帕萨特 2015款 1.8T 双离合 尊荣版,2.60,2015,西安,15.30,大众
POLO 2011款 1.4L 自动 致尚版,5.00,2012,上海,5.20,大众
高尔夫 2004款 1.8L 手动舒适型,10.91,2005,济南,1.99,大众
朗逸 2017款 230TSI 双离合 舒适版,0.27,2017,昆明,12.36,大众
速腾 2010款 1.4 TSI 自动 技术型,6.80,2010,昆明,5.80,大众
帕萨特 2016款 330TSI DSG御尊版,1.58,2016,石家庄,19.60,大众
POLO 2013款 1.6L 自动 豪华版,4.60,2012,西安,6.50,大众
帕萨特 2014款 1.8T 双离合 御尊版,3.26,2014,上海,14.28,大众
帕萨特 2011款 1.8T 自动 AQ 尊荣版,3.00,2011,吕梁,12.30,大众
帕萨特 2011款 1.8T 自动 AQ 尊荣版,4.30,2012,沈阳,12.58,大众
朗逸 2008款 1.6L自动品雅版,4.40,2008,苏州,4.48,大众
朗逸 2015款 1.6L 自动 舒适版,1.50,2016,太原,10.80,大众
POLO 2014款 1.6L 自动 舒适版,1.00,2016,武汉,7.30,大众
高尔夫 2010款 GTI 舒适版,4.95,2011,惠州,11.88,大众
途观 2016款 300TSI 手自一体 两驱 豪华版,1.00,2016,太原,20.18,大众
高尔夫(进口) 2011款 2.0T R,4.30,2012,泉州,24.80,大众
POLO 2006款 劲情 1.6手动风尚版,7.73,2007,成都,2.80,大众
蔚领 2017款 1.4T 双离合 豪华版,0.31,2016,温州,13.88,大众
高尔夫 2016款 1.4TSI 25周年纪念版,1.50,2016,郑州,11.98,大众
宝来 2005款 1.6手动基本型,8.80,2006,温州,1.90,大众
捷达 2013款 1.6L 手动时尚型,2.99,2013,无锡,4.72,大众
速腾 2017款 1.6L 手自一体 舒适版,0.22,2017,成都,12.38,大众
捷达 2012款 前卫,5.32,2012,长春,4.70,大众
POLO 2007款 Cross 1.6 AT,7.17,2009,成都,5.18,大众
宝来 2008款 1.6L 手动时尚型,5.00,2010,温州,4.38,大众
桑塔纳 2013款 1.4L 手动 舒适版,1.80,2014,郑州,5.00,大众
途安 2008款 2.0L智享版 手动挡5座,6.51,2008,济南,4.65,大众
POLO 2013款 1.4L 手动 风尚版,3.00,2013,石家庄,4.90,大众
宝来 2009款 1.6L 自动时尚,7.00,2010,苏州,4.98,大众
捷达 2010款 前卫,7.00,2010,昆明,2.98,大众
宝来 2013款 1.6L 自动 舒适型,2.00,2016,太原,9.50,大众
朗逸 2011款 1.4TSI 手动品雅版,6.00,2011,昆明,6.28,大众
迈腾 2009款 1.8 TSI DSG手自一体舒适型,7.50,2009,武汉,6.98,大众
甲壳虫 2014款 1.2 TSI 时尚型,3.00,2014,温州,13.80,大众
POLO 2007款 劲情 1.6手动风尚版,6.66,2009,济南,3.40,大众
捷达 2004款 CIF 1.6L 手动都市春天基本型,8.15,2008,石家庄,2.60,大众
宝来 2011款 1.4T 自动 豪华型,5.51,2010,天津,6.00,大众
朗逸 2008款 1.6L自动品轩版,7.82,2008,呼和浩特,3.90,大众
朗逸 2013款 经典款 1.4TSI 手动 舒适版,4.52,2012,石家庄,7.88,大众
途安 2006款 2.0L 自动舒适型5座,9.10,2007,中山,5.68,大众
凌渡 2015款 1.4T DSG 280TSI 舒适版,2.02,2015,兰州,13.90,大众
宝来 2008款 1.6L 手自一体豪华型,7.80,2009,大连,5.30,大众
朗逸 2013款 1.6L 自动风尚版 经典,3.00,2014,武汉,7.78,大众
POLO 2013款 1.6L 自动 舒适版,3.84,2012,银川,6.20,大众
途观 2013款 1.8TSI 手自一体 四驱 豪华版,2.60,2013,深圳,15.38,大众
甲壳虫 2007款 自动版(5门)基本型,4.80,2010,信阳,9.20,大众
甲壳虫 2015款 180TSI,2.70,2014,济南,15.68,大众
朗逸 2015款 1.6L 自动 豪华版,0.50,2016,太原,11.50,大众
凌渡 2015款 1.4T  DSG 280TSI 豪华版,1.12,2015,成都,13.54,大众
大众CC 2013款 1.8T 双离合 豪华型,2.00,2015,温州,20.50,大众
朗行 2013款 1.6L 手动 风尚版,3.80,2013,宁波,6.58,大众
高尔夫 2016款 1.4TSI 自动舒适型,1.28,2016,惠州,11.88,大众
宝来 2013款 1.6L 手动 舒适型,2.56,2014,兰州,7.98,大众
桑塔纳 2006款 3000 超越者 1.8自动舒适型,9.10,2006,衡阳,1.68,大众
POLO 2009款 劲情 1.6 自动Sporty,4.90,2010,上海,4.90,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.60,2017,成都,28.50,大众
朗逸 2017款 1.6L 手自一体 风尚版,0.09,2018,郑州,12.00,大众
朗逸 2017款 1.6L 手自一体 舒适版,0.09,2018,郑州,11.58,大众
高尔夫 2012款 1.6L 自动 舒适型,3.00,2014,石家庄,8.26,大众
捷达 2013款 1.6L 手动舒适型,3.00,2014,昆明,7.20,大众
迈腾 2007款 1.8TSI 手自一体豪华型,7.24,2008,佛山,6.20,大众
凌渡 2015款 1.4T DSG 280TSI 舒适版,1.80,2015,成都,11.80,大众
速腾 2017款 230TSI 双离合 豪华版,0.51,2017,郑州,14.40,大众
高尔夫(进口) 2011款 Cross 1.4T 手自一体,3.80,2013,深圳,12.30,大众
大众CC 2013款 1.8T 双离合 豪华型,2.20,2013,昆明,16.90,大众
POLO 2009款 劲取 1.4L 手动雅致版,6.94,2009,天津,3.40,大众
宝来 2015款 质惠版 1.6L 自动舒适型,0.50,2016,青岛,9.88,大众
帕萨特 2009款 领驭 1.8T 手动尊品型,7.00,2009,重庆,5.38,大众
宝来 2011款 1.6L 自动 舒适型,4.91,2011,石家庄,6.50,大众
POLO 2011款 1.6L 手动 致尚版,5.19,2011,成都,4.50,大众
桑塔纳 2013款 1.6L 手动 风尚版,3.12,2014,济南,4.98,大众
甲壳虫 2016款 180TSI 沙丘越野版,1.00,2016,哈尔滨,16.38,大众
捷达 2012款 典藏版,4.30,2011,太原,3.50,大众
速腾 2012款 1.4T 双离合 豪华型,4.60,2012,西安,8.90,大众
POLO 2011款 1.4L 自动 致尚版,2.49,2012,太原,5.80,大众
凌渡 2015款 1.8T DSG 330TSI 豪华版,1.30,2015,哈尔滨,15.50,大众
宝来 2013款 1.6L 手动 时尚型,3.82,2013,成都,7.38,大众
朗逸 2008款 2.0L手动品轩版,7.50,2008,郑州,4.10,大众
POLO 2011款 劲取 1.4L 手动 实乐版,5.00,2012,临沂,3.60,大众
朗逸 2011款 1.6L 自动品悠版,4.60,2011,兰州,6.30,大众
朗行 2013款 1.4TSI 手动 舒适版,3.00,2013,昆明,8.60,大众
尚酷 2011款 1.4 TSI 风尚版 单增压,4.88,2012,青岛,13.98,大众
高尔夫 2006款 1.6L 自动舒适型,8.00,2006,温州,2.70,大众
迈腾 2013款 1.8T 手自一体 领先型,2.10,2013,厦门,13.80,大众
途观 2010款 菁英版 1.8TSI 手自一体 4MOTION,6.20,2011,深圳,12.90,大众
POLO 2007款 Cross 1.6 AMT 奥运限量版,6.40,2008,东莞,4.38,大众
POLO 2009款 劲情 1.4L 手动时尚版,5.00,2009,武汉,2.50,大众
朗逸 2014款 1.4T DSG 蓝驱技术版,2.00,2015,郑州,9.00,大众
帕萨特 2009款 领驭 2.0L MFI 自动尊享型,6.29,2010,惠州,7.00,大众
速腾 2015款 1.4T 双离合 230TSI 豪华型,2.00,2015,上海,13.30,大众
朗逸 2008款 2.0L手动品轩版,7.40,2009,沈阳,4.98,大众
POLO 2014款 1.4L 手动 风尚版,2.00,2014,合肥,5.20,大众
POLO 2014款 1.6L 自动 豪华版,1.60,2015,上海,8.98,大众
朗逸 2011款 2.0L 自动品悠版,4.50,2011,长沙,5.98,大众
途观 2010款 风尚版 1.8TSI 手自一体 4MOTION,4.47,2010,大连,12.30,大众
宝来 2008款 1.6L 手动舒适型,6.99,2009,常州,3.80,大众
POLO 2014款 1.4L 手动 风尚版,1.90,2015,上海,5.78,大众
POLO 2013款 1.4L 手动 风尚版,3.22,2013,宜昌,4.58,大众
朗逸 2011款 2.0L 手动品悠版,6.00,2011,上海,4.50,大众
POLO 2013款 1.6L 自动 舒适版,2.12,2012,上海,7.48,大众
朗逸 2013款 经典款 1.4TSI 手动 豪华版,0.60,2013,济南,8.18,大众
大众CC 2013款 2.0T 双离合 豪华型,2.90,2013,晋中,13.90,大众
POLO 2006款 劲取 1.6L 手动雅尊版,10.00,2006,昆明,2.88,大众
大众CC 2013款 1.8T 双离合 豪华型,3.00,2014,台州,20.88,大众
POLO 2004款 1.4两厢手动基本型,10.00,2005,郑州,1.70,大众
宝来 2008款 1.6L 手动舒适型,5.61,2011,哈尔滨,4.70,大众
桑塔纳 2008款 志俊 1.8MT 舒适型,4.40,2012,太原,4.45,大众
宝来 2018款 1.5L 手自一体 舒适版,0.02,2018,嘉兴,11.88,大众
桑塔纳 2016款 1.4L 手动 风尚版,0.02,2018,郑州,7.50,大众
大众CC 2013款 2.0T 双离合 尊贵型,2.79,2013,成都,16.30,大众
高尔夫 2015款 1.4TSI 自动豪华型,2.00,2015,柳州,12.98,大众
高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,0.08,2017,郑州,14.60,大众
POLO 2011款 1.4L 手动 致尚版,4.00,2011,武汉,4.38,大众
大众UP! 2015款 1.0L move up!,0.86,2015,西安,8.80,大众
POLO 2003款 1.6三厢手动舒适型,12.00,2003,贵阳,1.68,大众
桑塔纳 2008款 志俊 2.0AT 豪华型,4.00,2009,太原,3.50,大众
POLO 2014款 1.6L 自动 舒适版,1.70,2014,合肥,6.88,大众
桑塔纳 2013款 1.6L 手动 风尚版,0.66,2015,济南,4.98,大众
POLO 2016款 Cross 1.6L 手自一体,1.20,2016,成都,7.02,大众
POLO 2016款 1.4L 自动 风尚版,0.20,2017,上海,7.36,大众
速腾 2014款 改款 1.6L 手自一体  领先型,3.00,2014,泉州,10.30,大众
途观L 2017款 330TSI 双离合 两驱 旗舰版,0.80,2017,青岛,24.90,大众
途安 2008款 1.8T智尊版 自动挡5座,6.10,2010,上海,6.90,大众
桑塔纳 2013款 1.4L 手动 风尚版,2.04,2013,青岛,4.70,大众
迈腾 2017款 330TSI 双离合 舒适版,0.30,2018,青岛,18.28,大众
POLO 2002款 1.4两厢自动舒适型,10.00,2004,镇江,1.50,大众
途观 2010款 1.8TSI 手自一体 前驱 都会版,5.00,2011,临沂,12.00,大众
宝来 2017款 1.6L 手自一体 舒适版,0.29,2017,泉州,10.98,大众
朗逸 2008款 1.6L自动品悠版,7.00,2009,深圳,5.08,大众
POLO 2009款 劲情 1.4L 自动舒尚版,7.00,2009,乐山,4.38,大众
宝来 2017款 1.6L 手自一体 舒适版,0.29,2017,天津,10.58,大众
甲壳虫 2014款 1.4 TSI 时尚型,3.00,2014,大连,13.94,大众
POLO 2009款 劲取 1.6L 自动雅致版,3.46,2011,青岛,4.78,大众
迈腾(进口) 2012款 旅行版 2.0T 豪华型,3.00,2012,上海,15.80,大众
捷达 2015款 1.6L 自动时尚型,1.50,2015,泉州,5.60,大众
朗逸 2010款 1.6L 自动品轩进享版,5.71,2010,中山,5.80,大众
POLO 2014款 1.6L 自动 豪华版,1.89,2014,常州,7.68,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.71,2017,成都,26.80,大众
途观 2012款 1.8TSI 手动 前驱 进享版,4.00,2013,郑州,10.99,大众
POLO 2016款 1.6L 自动 豪华版,1.40,2016,苏州,8.38,大众
POLO 2016款 1.4L 自动 风尚版,0.64,2017,西安,8.00,大众
夏朗 2014款 2.0L TSI 标配型,2.80,2014,沈阳,19.80,大众
凌渡 2015款 1.4T DSG 230TSI 风尚版,2.00,2015,贵阳,12.38,大众
朗逸 2015款 1.6L 自动 风尚版,0.98,2017,台州,9.68,大众
大众CC 2011款 1.8T 豪华型,4.80,2011,武汉,12.03,大众
帕萨特 2015款 1.8T 双离合 御尊版,1.10,2016,绵阳,17.88,大众
桑塔纳 2013款 1.6L 自动 风尚版,3.10,2014,哈尔滨,6.30,大众
途昂 2017款 530 V6 四驱 旗舰版,0.49,2017,徐州,44.80,大众
捷达 2013款 1.6L 自动时尚型,3.00,2014,贵阳,5.88,大众
POLO 2007款 劲情 1.4手动时尚版,7.37,2009,兰州,3.60,大众
朗逸 2015款 1.6L 自动 舒适版,0.80,2017,西安,11.00,大众
途观 2012款 1.8TSI 手自一体 前驱 风尚版,1.80,2013,宁波,14.78,大众
POLO 2013款 1.4L 自动 豪华版,4.57,2013,成都,6.58,大众
POLO 2016款 1.4L 自动 风尚版,0.17,2018,鹰潭,7.80,大众
捷达 2008款 CiF—P 伙伴,3.81,2009,成都,2.28,大众
凌渡 2017款 230TSI 双离合 风尚版,0.90,2017,郑州,11.50,大众
帕萨特 2014款 1.8T 双离合 御尊导航版,2.70,2014,南京,14.50,大众
POLO 2007款 劲情 1.4自动时尚版,5.20,2009,宁波,3.88,大众
途观 2013款 1.8TSI 手自一体 前驱 风尚版,3.00,2014,烟台,15.98,大众
尚酷 2011款 1.4 TSI 风尚版 单增压,2.00,2013,绍兴,13.00,大众
朗逸 2008款 1.6L自动品雅版,5.70,2010,石家庄,5.28,大众
甲壳虫 2014款 1.2 TSI 舒适型,2.16,2014,石家庄,13.90,大众
POLO 2012款 Cross 1.6L 手动,1.70,2013,昆明,5.90,大众
朗行 2013款 1.6L 自动 豪华版,1.30,2014,无锡,8.60,大众
迈腾 2017款 380TSI 双离合 尊贵版,0.64,2016,成都,22.80,大众
大众CC 2015款 1.8T 双离合 尊贵型,2.40,2015,苏州,18.30,大众
帕萨特 2017款 330TSI 双离合 领尊版,0.39,2017,徐州,21.20,大众
途观L 2017款 380TSI 双离合 四驱 至尊旗舰版,0.49,2017,西安,29.80,大众
尚酷 2015款 1.4TSI 风尚版,1.69,2016,南京,16.20,大众
高尔夫·嘉旅 2016款 230TSI 双离合 豪华版,0.30,2017,厦门,15.98,大众
甲壳虫 2014款 1.2 TSI 舒适型,2.20,2014,成都,13.30,大众
POLO 2011款 1.6L 手动 致尚版,4.30,2011,柳州,4.80,大众
高尔夫 2016款 1.6L 自动舒适型,1.20,2016,成都,8.80,大众
POLO 2011款 1.4L 自动 致尚版,4.74,2011,武汉,5.50,大众
高尔夫 2012款 1.4T 自动舒适型,3.51,2014,长沙,10.38,大众
甲壳虫 2014款 1.2 TSI 时尚型,2.80,2014,贵阳,15.00,大众
捷达 2008款 CiF—P 伙伴,6.00,2010,太原,3.20,大众
朗逸 2013款 经典款 1.6L 手自一体 舒适版,1.80,2014,深圳,8.80,大众
